Maths,Science,Creativity,Communication,Tech Interest,Analytical Thinking,Leadership,Writing Skills,Teamwork,Medical Knowledge,Problem Solving,Business Acumen,Passion for Teaching,Interest in Law,Musical Talent,Career
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Musician
0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,Biotechnologist
0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,Software Developer
0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,Entrepreneur
1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,Architect
1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,Teacher
0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,Entrepreneur
1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,Mechanical Engineer
1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,Musician
0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,Artist
0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,Lawyer
0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,Lawyer
1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,Financial Analyst
1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,Lawyer
1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Biotechnologist
0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,Civil Engineer
0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,Musician
1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,Game Developer
1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,Teacher
0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,Mechanical Engineer
1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,Doctor
1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,Mechanical Engineer
1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,Chef
0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,Civil Engineer
1,1,0,0,1,1,0,1,1,0,1,1,0,1,1,Marketing Manager
1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,Doctor
0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,Entrepreneur
1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,Psychologist
1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,Biotechnologist
0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,Engineer
1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,Marketing Manager
0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,Civil Engineer
1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,Lawyer
0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,Chef
